Median_House_Value,Latitude,Longitude
128600,37.8,-122.24
140600,37.8,-122.24
182700,37.8,-122.24
146900,37.8,-122.23
122800,37.8,-122.24
169300,37.8,-122.24
126600,37.8,-122.23
127900,37.8,-122.23
123500,37.8,-122.23
111900,37.8,-122.23
112800,37.79,-122.23
107900,37.79,-122.23
137500,37.79,-122.23
105500,37.79,-122.24
95500,37.79,-122.24
116100,37.79,-122.24
112200,37.79,-122.24
75000,37.79,-122.25
112500,37.79,-122.25
125000,37.79,-122.25
115000,37.8,-122.26
95000,37.77,-122.22
96400,37.77,-122.22
72000,37.77,-122.23
71300,37.78,-122.23
80800,37.78,-122.23
128800,37.78,-122.22
112500,37.78,-122.23
119400,37.78,-122.23
118100,37.78,-122.23
122500,37.79,-122.23
106300,37.79,-122.23
132500,37.79,-122.22
122700,37.79,-122.23
113300,37.79,-122.23
109500,37.79,-122.22
164700,37.79,-122.22
125000,37.79,-122.21
124700,37.79,-122.22
136700,37.79,-122.22
141700,37.79,-122.22
150000,37.79,-122.2
138800,37.79,-122.21
139200,37.79,-122.21
143800,37.79,-122.21
156500,37.8,-122.21
151000,37.8,-122.21
273000,37.8,-122.2
217100,37.8,-122.2
187100,37.8,-122.21
239600,37.8,-122.2
229700,37.8,-122.21
257300,37.8,-122.19
246900,37.8,-122.19
179900,37.79,-122.19
169600,37.79,-122.2
203300,37.8,-122.2
263400,37.8,-122.19
231800,37.79,-122.19
140500,37.79,-122.19
126000,37.79,-122.2
122000,37.79,-122.2
134700,37.79,-122.2
139400,37.79,-122.21
115400,37.79,-122.2
137300,37.78,-122.21
137000,37.78,-122.21
142600,37.78,-122.21
137500,37.78,-122.21
111700,37.78,-122.22
126800,37.78,-122.21
111300,37.78,-122.21
114800,37.77,-122.22
102300,37.78,-122.22
131900,37.78,-122.22
119100,37.78,-122.22
80600,37.76,-122.21
80600,37.77,-122.21
88800,37.77,-122.21
102400,37.77,-122.2
98700,37.77,-122.21
1.00E+05,37.77,-122.21
92300,37.77,-122.19
94800,37.77,-122.2
102000,37.77,-122.2
158400,37.78,-122.2
121600,37.78,-122.2
129100,37.78,-122.2
121400,37.77,-122.2
102800,37.78,-122.21
160000,37.78,-122.19
143900,37.77,-122.19
151200,37.77,-122.19
164400,37.78,-122.19
156500,37.78,-122.19
225000,37.78,-122.18
174200,37.78,-122.19
166900,37.78,-122.19
163500,37.78,-122.2
253000,37.79,-122.18
240700,37.79,-122.18
208100,37.79,-122.18
198100,37.79,-122.19
172800,37.79,-122.19
336700,37.81,-122.18
318200,37.8,-122.18
285800,37.8,-122.18
293000,37.77,-122.13
371000,37.79,-122.16
157300,37.78,-122.17
135300,37.77,-122.17
136700,37.78,-122.18
160700,37.78,-122.18
140600,37.78,-122.17
144000,37.78,-122.17
161900,37.77,-122.16
156300,37.77,-122.16
176000,37.77,-122.16
145800,37.77,-122.16
141900,37.77,-122.17
90700,37.77,-122.17
90600,37.76,-122.17
107900,37.76,-122.17
107000,37.76,-122.18
98200,37.76,-122.17
89500,37.76,-122.18
93800,37.76,-122.18
96700,37.76,-122.18
97500,37.77,-122.18
97300,37.77,-122.18
91200,37.76,-122.18
91400,37.76,-122.19
96200,37.77,-122.18
120100,37.77,-122.18
1.00E+05,37.77,-122.18
94700,37.76,-122.19
85700,37.76,-122.2
89300,37.77,-122.19
101400,37.77,-122.19
72500,37.76,-122.19
74100,37.76,-122.19
70000,37.75,-122.2
84600,37.76,-122.2
81800,37.76,-122.19
81400,37.75,-122.19
81800,37.75,-122.19
85800,37.76,-122.19
87100,37.74,-122.19
83500,37.74,-122.18
79700,37.73,-122.19
83400,37.74,-122.19
84700,37.73,-122.19
80000,37.73,-122.18
76400,37.73,-122.18
79700,37.73,-122.18
82400,37.73,-122.18
97700,37.74,-122.17
97200,37.74,-122.17
101600,37.74,-122.17
86500,37.73,-122.17
90500,37.74,-122.18
107600,37.74,-122.17
84200,37.74,-122.17
88900,37.74,-122.18
80700,37.75,-122.18
87100,37.75,-122.18
85100,37.75,-122.17
82000,37.75,-122.18
82800,37.75,-122.19
84600,37.75,-122.18
82100,37.75,-122.18
89300,37.76,-122.17
98300,37.75,-122.17
92300,37.75,-122.17
88800,37.75,-122.17
90000,37.75,-122.17
95500,37.76,-122.16
91700,37.75,-122.16
100400,37.75,-122.17
94800,37.76,-122.17
164300,37.76,-122.16
155500,37.76,-122.16
196900,37.76,-122.15
279100,37.77,-122.14
252800,37.76,-122.14
275400,37.76,-122.13
250000,37.75,-122.12
329800,37.75,-122.12
195500,37.75,-122.14
255900,37.75,-122.14
311100,37.75,-122.13
330000,37.75,-122.13
248900,37.74,-122.13
142900,37.75,-122.16
126300,37.75,-122.15
135800,37.75,-122.15
130600,37.74,-122.15
107900,37.75,-122.16
111100,37.75,-122.16
122000,37.74,-122.15
118000,37.74,-122.15
95200,37.75,-122.16
94300,37.75,-122.16
92500,37.74,-122.17
91800,37.75,-122.17
109400,37.74,-122.16
129500,37.74,-122.16
143400,37.74,-122.16
98200,37.74,-122.16
103100,37.74,-122.16
276800,37.9,-122.29
270900,37.9,-122.29
246200,37.89,-122.29
224200,37.9,-122.3
229100,37.89,-122.29
211600,37.89,-122.3
256100,37.9,-122.3
206300,37.89,-122.3
221300,37.89,-122.3
207400,37.89,-122.33
350000,37.88,-122.34
218200,37.89,-122.29
216700,37.88,-122.29
270600,37.89,-122.29
261400,37.89,-122.29
261300,37.88,-122.28
232200,37.89,-122.29
375400,37.9,-122.27
357300,37.9,-122.26
374400,37.9,-122.27
358800,37.9,-122.27
417500,37.9,-122.27
430500,37.89,-122.27
362900,37.9,-122.28
397000,37.9,-122.28
346800,37.9,-122.28
327100,37.89,-122.28
290100,37.89,-122.28
292000,37.89,-122.28
270900,37.89,-122.28
371100,37.89,-122.27
335600,37.89,-122.27
371300,37.9,-122.26
344000,37.89,-122.25
342200,37.89,-122.26
370900,37.89,-122.26
350000,37.89,-122.25
368600,37.89,-122.25
391800,37.88,-122.26
415300,37.88,-122.26
284900,37.88,-122.27
287500,37.88,-122.27
272900,37.88,-122.27
259600,37.88,-122.28
254500,37.88,-122.28
235600,37.88,-122.28
218400,37.88,-122.29
229200,37.88,-122.29
192100,37.88,-122.29
179300,37.88,-122.29
187500,37.88,-122.3
138800,37.88,-122.3
150000,37.87,-122.3
140600,37.86,-122.3
120000,37.85,-122.29
144800,37.88,-122.3
144800,37.87,-122.3
245500,37.88,-122.28
2.00E+05,37.87,-122.28
173700,37.87,-122.28
185600,37.87,-122.29
182600,37.87,-122.29
227900,37.88,-122.28
220700,37.87,-122.28
212000,37.87,-122.28
271400,37.88,-122.27
268800,37.87,-122.27
277800,37.88,-122.27
332500,37.88,-122.26
338900,37.88,-122.26
287500,37.88,-122.26
384600,37.87,-122.25
371400,37.87,-122.25
350000,37.87,-122.25
500001,37.87,-122.25
175000,37.87,-122.26
241700,37.87,-122.26
216700,37.87,-122.27
211300,37.87,-122.27
210200,37.87,-122.27
196400,37.86,-122.28
191700,37.87,-122.28
182300,37.87,-122.28
175000,37.87,-122.29
165900,37.87,-122.29
156900,37.86,-122.29
164300,37.86,-122.28
150000,37.87,-122.29
150500,37.86,-122.29
169900,37.86,-122.28
147400,37.86,-122.28
152700,37.85,-122.28
182700,37.86,-122.27
179300,37.86,-122.28
157700,37.86,-122.28
153100,37.86,-122.28
250000,37.86,-122.27
206300,37.86,-122.27
218800,37.86,-122.27
198200,37.86,-122.27
253600,37.86,-122.26
257400,37.86,-122.26
289500,37.86,-122.26
241700,37.86,-122.26
489600,37.86,-122.25
446200,37.86,-122.25
456300,37.86,-122.25
336800,37.86,-122.25
500001,37.86,-122.24
500001,37.85,-122.24
376900,37.86,-122.25
309600,37.85,-122.26
182300,37.85,-122.27
172700,37.85,-122.27
150800,37.85,-122.27
153600,37.85,-122.27
106300,37.85,-122.27
142300,37.85,-122.27
119400,37.85,-122.28
147900,37.85,-122.28
132900,37.85,-122.28
132500,37.84,-122.29
126900,37.83,-122.28
143800,37.84,-122.3
500001,37.83,-122.23
500001,37.82,-122.22
500001,37.82,-122.22
500001,37.82,-122.23
466100,37.82,-122.23
500001,37.82,-122.23
457800,37.83,-122.24
471600,37.83,-122.24
500001,37.82,-122.23
398600,37.82,-122.24
340700,37.82,-122.25
289900,37.76,-122.23
335300,37.76,-122.23
333000,37.76,-122.23
241000,37.77,-122.24
189600,37.77,-122.23
206300,37.77,-122.24
215700,37.77,-122.25
210200,37.77,-122.25
208800,37.77,-122.25
197900,37.77,-122.25
201300,37.78,-122.26
190800,37.78,-122.26
207900,37.78,-122.27
215300,37.78,-122.27
212900,37.78,-122.27
292700,37.78,-122.27
275000,37.79,-122.28
2.00E+05,37.77,-122.3
173400,37.78,-122.28
102200,37.78,-122.29
220800,37.77,-122.28
242800,37.77,-122.28
265400,37.76,-122.29
219000,37.78,-122.28
282100,37.77,-122.26
372000,37.77,-122.27
225800,37.77,-122.27
220800,37.77,-122.27
234500,37.77,-122.27
254200,37.77,-122.25
351800,37.77,-122.26
275000,37.77,-122.26
405400,37.77,-122.26
228100,37.77,-122.26
234000,37.77,-122.26
162500,37.77,-122.24
243400,37.77,-122.25
273800,37.76,-122.23
248500,37.76,-122.23
244000,37.76,-122.24
240900,37.76,-122.24
306300,37.76,-122.23
240000,37.75,-122.23
247100,37.75,-122.24
286600,37.75,-122.24
266700,37.76,-122.24
229800,37.76,-122.24
229300,37.76,-122.24
228400,37.73,-122.24
206200,37.74,-122.25
350700,37.72,-122.24
231000,37.73,-122.27
252900,37.76,-122.25
353900,37.74,-122.27
291700,37.77,-122.27
1.00E+05,37.75,-122.28
341600,37.77,-122.06
412500,37.73,-122.06
248600,37.71,-122.06
254900,37.71,-122.07
241500,37.71,-122.07
295200,37.72,-122.07
340400,37.72,-122.08
274700,37.72,-122.08
238600,37.71,-122.08
266400,37.71,-122.09
330200,37.72,-122.1
206800,37.71,-122.11
209200,37.7,-122.1
195800,37.69,-122.1
253500,37.71,-122.09
241800,37.7,-122.09
252500,37.71,-122.1
263900,37.7,-122.09
227000,37.71,-122.08
220900,37.71,-122.08
259300,37.7,-122.08
232500,37.7,-122.07
231600,37.7,-122.06
209400,37.7,-122.06
223200,37.7,-122.07
209900,37.7,-122.08
208200,37.7,-122.09
203800,37.69,-122.07
195700,37.69,-122.08
190500,37.69,-122.07
181000,37.69,-122.08
184900,37.69,-122.08
190800,37.68,-122.08
242200,37.68,-122.08
188300,37.69,-122.09
183500,37.74,-122.15
204200,37.74,-122.14
251900,37.73,-122.14
187500,37.74,-122.15
198200,37.73,-122.16
219000,37.74,-122.15
275000,37.73,-122.15
245400,37.73,-122.15
177500,37.73,-122.17
171600,37.73,-122.16
183300,37.73,-122.17
175000,37.73,-122.16
156700,37.72,-122.18
157500,37.71,-122.18
179800,37.71,-122.17
205500,37.7,-122.18
178900,37.7,-122.18
262500,37.71,-122.19
165000,37.72,-122.17
159700,37.72,-122.17
158300,37.72,-122.17
144800,37.72,-122.16
166300,37.72,-122.17
191000,37.71,-122.16
175000,37.71,-122.16
137500,37.72,-122.16
141700,37.73,-122.15
210900,37.72,-122.15
198300,37.72,-122.15
157400,37.72,-122.15
264700,37.73,-122.14
218400,37.73,-122.14
235100,37.73,-122.14
341800,37.73,-122.13
367300,37.72,-122.13
243500,37.72,-122.13
167900,37.71,-122.12
371200,37.72,-122.13
218900,37.72,-122.14
202700,37.72,-122.14
186200,37.72,-122.13
188900,37.71,-122.13
180000,37.71,-122.13
202700,37.71,-122.15
181700,37.71,-122.14
166800,37.71,-122.14
183700,37.7,-122.13
218000,37.7,-122.13
191500,37.71,-122.15
194700,37.7,-122.15
187200,37.7,-122.14
223100,37.7,-122.13
271300,37.69,-122.13
194100,37.7,-122.14
190400,37.7,-122.16
189100,37.69,-122.14
184600,37.69,-122.15
197300,37.69,-122.15
192600,37.7,-122.15
192200,37.69,-122.16
194600,37.7,-122.16
193500,37.7,-122.16
202600,37.7,-122.17
83300,37.68,-122.16
212600,37.69,-122.17
187800,37.68,-122.18
205700,37.69,-122.16
192900,37.69,-122.15
205200,37.68,-122.15
213400,37.68,-122.15
183600,37.69,-122.15
178400,37.69,-122.14
219200,37.68,-122.14
183100,37.68,-122.14
157100,37.69,-122.1
157800,37.69,-122.12
161700,37.69,-122.13
152100,37.71,-122.12
144900,37.7,-122.12
179900,37.7,-122.12
179100,37.69,-122.12
159900,37.7,-122.12
161400,37.7,-122.11
170400,37.7,-122.11
137500,37.7,-122.11
178400,37.69,-122.1
155200,37.69,-122.11
160900,37.69,-122.11
167300,37.69,-122.12
340000,37.69,-122.03
431000,37.64,-121.97
301100,37.63,-122.02
241900,37.63,-122.04
162500,37.63,-122.05
299200,37.66,-122.04
315500,37.65,-122.04
216800,37.68,-122.05
218100,37.68,-122.07
170300,37.68,-122.06
275000,37.68,-122.08
184100,37.68,-122.08
160000,37.67,-122.08
175000,37.67,-122.09
197500,37.68,-122.09
150000,37.69,-122.09
205600,37.68,-122.09
170300,37.68,-122.09
190900,37.68,-122.09
196900,37.68,-122.1
174000,37.68,-122.1
170200,37.68,-122.11
180900,37.68,-122.1
150500,37.67,-122.1
167100,37.68,-122.1
148900,37.68,-122.12
196400,37.68,-122.12
191100,37.68,-122.12
187500,37.67,-122.11
180600,37.68,-122.12
182800,37.68,-122.13
179300,37.68,-122.13
179400,37.68,-122.13
210300,37.68,-122.14
192300,37.67,-122.14
198100,37.67,-122.15
196200,37.67,-122.14
181600,37.67,-122.13
186900,37.67,-122.14
188300,37.67,-122.14
184000,37.67,-122.13
184700,37.67,-122.12
179900,37.67,-122.13
167200,37.67,-122.11
165400,37.67,-122.11
154000,37.67,-122.09
153500,37.67,-122.09
135400,37.66,-122.09
158300,37.66,-122.09
240700,37.68,-122.05
180700,37.67,-122.06
230600,37.67,-122.07
210800,37.67,-122.07
165300,37.67,-122.07
254200,37.67,-122.04
332600,37.67,-122.04
350000,37.66,-122.04
161200,37.66,-122.07
179300,37.66,-122.07
154300,37.66,-122.08
161800,37.65,-122.07
161900,37.65,-122.08
165400,37.65,-122.08
166600,37.66,-122.08
149700,37.66,-122.1
162100,37.66,-122.1
152600,37.66,-122.1
195200,37.65,-122.09
190600,37.65,-122.09
193800,37.65,-122.09
200600,37.66,-122.1
150000,37.66,-122.11
185300,37.66,-122.1
172700,37.66,-122.11
174100,37.66,-122.11
194400,37.65,-122.1
206700,37.64,-122.1
204500,37.65,-122.1
175000,37.65,-122.1
137500,37.65,-122.12
187200,37.63,-122.1
173600,37.61,-122.1
163000,37.66,-122.13
331600,37.65,-122.11
197600,37.64,-122.11
197900,37.64,-122.11
228100,37.64,-122.12
189500,37.63,-122.09
184200,37.64,-122.09
180900,37.63,-122.1
172000,37.64,-122.08
177900,37.64,-122.08
173100,37.64,-122.09
172600,37.64,-122.09
182100,37.64,-122.08
179500,37.64,-122.08
176000,37.63,-122.08
192600,37.63,-122.08
182700,37.64,-122.08
134900,37.64,-122.07
157600,37.63,-122.07
190900,37.64,-122.07
158200,37.64,-122.06
350000,37.64,-122.06
158200,37.65,-122.06
146100,37.64,-122.06
226700,37.63,-122.04
198700,37.62,-122.03
221200,37.62,-122.03
208500,37.62,-122.04
204200,37.62,-122.04
193200,37.62,-122.04
209500,37.62,-122.03
164900,37.61,-122.03
161400,37.61,-122.03
187000,37.61,-122.04
190400,37.62,-122.04
156600,37.63,-122.08
157300,37.62,-122.08
168100,37.63,-122.07
177600,37.63,-122.07
208900,37.63,-122.06
169200,37.63,-122.06
163900,37.61,-122.05
164700,37.63,-122.08
156900,37.63,-122.08
168800,37.63,-122.09
174100,37.63,-122.09
206500,37.62,-122.08
203900,37.61,-122.08
217000,37.61,-121.99
159600,37.6,-122.02
159800,37.6,-122.02
154300,37.6,-122.02
149600,37.6,-122.02
188600,37.61,-122.03
238500,37.6,-122.04
235300,37.6,-122.06
261400,37.61,-122.08
234400,37.6,-122.06
231700,37.6,-122.06
156300,37.59,-122.08
222000,37.59,-122.07
254400,37.58,-122.08
244300,37.58,-122.07
247000,37.58,-122.07
236500,37.58,-122.08
151400,37.59,-122.07
213700,37.58,-122.07
243600,37.59,-122.04
212500,37.59,-122.05
214700,37.6,-122.03
213200,37.59,-122.02
256000,37.59,-122.03
237500,37.59,-122.01
178100,37.58,-122.02
231800,37.58,-122.01
147900,37.6,-122.09
191700,37.6,-122.08
247600,37.57,-121.97
283500,37.58,-121.96
216900,37.58,-121.98
282500,37.58,-121.99
295600,37.58,-122
281800,37.57,-122.01
269800,37.58,-122.04
231200,37.57,-122.04
318300,37.57,-122.07
253400,37.58,-122.06
278200,37.57,-122.05
3.00E+05,37.49,-121.93
273500,37.52,-122.07
223400,37.56,-122.02
214500,37.56,-122.02
220200,37.56,-122.03
240300,37.56,-122.03
158000,37.56,-122.01
224200,37.55,-122.01
177200,37.55,-122.02
216100,37.56,-122.01
269700,37.56,-121.99
231200,37.56,-121.99
162500,37.55,-121.96
254000,37.56,-121.97
196200,37.54,-121.97
189400,37.55,-121.97
220800,37.54,-121.98
213800,37.55,-121.99
442900,37.56,-121.94
333400,37.55,-121.95
352400,37.54,-121.93
305300,37.54,-121.94
259600,37.53,-121.94
248900,37.54,-121.95
356000,37.54,-121.94
236000,37.54,-121.96
218800,37.53,-121.96
228000,37.53,-121.96
235900,37.53,-121.96
203200,37.54,-121.97
197000,37.53,-121.97
236400,37.53,-121.97
223200,37.53,-121.98
222700,37.53,-121.98
225000,37.54,-121.99
240100,37.54,-121.99
227900,37.54,-121.99
268600,37.55,-121.99
275100,37.54,-122
256300,37.55,-122.01
332400,37.55,-122
287600,37.54,-122.01
298900,37.54,-122
287600,37.53,-122.01
222200,37.53,-121.99
232600,37.52,-121.97
258300,37.51,-121.97
230900,37.52,-121.97
196900,37.52,-121.95
223500,37.51,-121.96
223900,37.52,-121.96
243500,37.53,-121.93
451100,37.53,-121.92
500001,37.49,-121.89
193100,37.49,-121.92
264400,37.48,-121.92
246900,37.47,-121.92
337300,37.47,-121.91
284800,37.55,-122.03
217300,37.55,-122.03
291700,37.55,-122.04
223800,37.54,-122.04
223100,37.54,-122.05
211300,37.55,-122.05
218500,37.53,-122.04
156300,37.5,-122.04
248200,37.54,-122.06
186000,37.54,-122.03
178200,37.54,-122.03
190400,37.53,-122.04
210300,37.54,-122.02
208000,37.54,-122.03
183300,37.53,-122.03
245700,37.53,-122.01
242200,37.53,-122.02
181700,37.51,-122
299400,37.72,-121.92
219500,37.72,-121.92
231800,37.71,-121.91
221300,37.72,-121.93
213800,37.72,-121.93
206000,37.71,-121.93
271100,37.71,-121.94
336500,37.71,-121.96
315600,37.64,-121.92
500001,37.66,-121.93
285400,37.69,-121.92
323000,37.66,-121.9
291900,37.68,-121.92
225600,37.7,-121.93
259600,37.69,-121.91
262900,37.68,-121.91
257300,37.68,-121.91
259200,37.69,-121.91
339700,37.68,-121.89
337200,37.68,-121.88
334100,37.68,-121.89
311500,37.67,-121.88
296900,37.67,-121.88
247900,37.67,-121.89
300400,37.67,-121.89
332400,37.67,-121.9
389800,37.67,-121.9
233000,37.66,-121.88
238500,37.66,-121.87
233300,37.66,-121.87
231300,37.66,-121.89
475800,37.64,-121.88
393200,37.57,-121.87
247200,37.67,-121.87
229400,37.67,-121.87
282500,37.68,-121.85
300600,37.66,-121.85
293200,37.66,-121.86
278500,37.66,-121.87
352900,37.66,-121.84
4.00E+05,37.72,-121.85
375000,37.73,-121.82
313700,37.7,-121.86
139300,37.69,-121.89
327500,37.65,-121.77
430600,37.61,-121.62
125000,37.77,-121.61
450000,37.7,-121.72
200200,37.71,-121.73
192400,37.71,-121.75
418800,37.74,-121.77
216800,37.7,-121.8
215500,37.69,-121.8
227700,37.69,-121.82
184400,37.69,-121.76
158400,37.68,-121.77
174600,37.69,-121.78
168400,37.69,-121.78
188400,37.69,-121.79
256700,37.7,-121.76
183800,37.69,-121.75
183400,37.68,-121.75
177500,37.68,-121.76
186900,37.68,-121.76
238900,37.68,-121.73
172500,37.68,-121.78
179200,37.68,-121.77
204400,37.68,-121.76
209400,37.68,-121.77
264200,37.67,-121.77
350000,37.67,-121.76
199800,37.67,-121.78
211000,37.67,-121.79
201100,37.67,-121.78
193000,37.66,-121.78
245000,37.66,-121.79
117600,38.69,-119.78
97900,38.72,-119.93
140600,38.52,-120
120900,38.48,-120.56
119000,38.45,-120.59
129200,38.46,-120.55
99100,38.45,-120.55
108900,38.43,-120.55
111700,38.55,-120.25
68900,38.54,-120.79
96400,38.51,-120.8
116700,38.5,-120.65
123800,38.47,-120.76
97900,38.45,-120.88
129800,38.43,-120.79
121300,38.44,-120.69
107200,38.5,-120.93
121900,38.42,-120.97
113400,38.37,-120.87
99100,38.34,-120.98
103000,38.32,-120.88
114200,38.26,-120.93
144100,38.42,-120.72
128600,38.38,-120.77
157200,38.38,-120.72
118500,38.4,-120.66
116700,38.42,-120.65
134800,38.39,-120.62
109900,38.36,-120.69
144300,38.34,-120.71
123600,38.31,-120.8
112600,39.76,-121.83
107300,39.76,-121.82
117800,39.78,-121.86
89900,39.77,-121.85
102300,39.76,-121.84
87300,39.76,-121.86
142600,39.76,-121.89
153100,39.74,-121.88
126600,39.75,-121.87
118300,39.75,-121.86
147000,39.74,-121.87
78100,39.75,-121.85
85800,39.74,-121.85
84500,39.74,-121.85
137500,39.73,-121.85
88900,39.73,-121.85
120200,39.74,-121.86
74500,39.75,-121.84
85100,39.74,-121.84
130300,39.74,-121.83
125200,39.75,-121.8
111400,39.75,-121.82
97000,39.75,-121.82
122600,39.75,-121.8
116300,39.73,-121.79
179200,39.71,-121.78
85800,39.73,-121.82
94800,39.73,-121.84
2.00E+05,39.73,-121.84
112500,39.73,-121.84
69000,39.72,-121.84
55000,39.73,-121.84
77900,39.73,-121.83
98800,39.72,-121.85
78700,39.72,-121.83
81300,39.7,-121.81
60300,39.73,-121.82
66300,39.72,-121.82
116700,39.71,-121.81
159700,39.82,-121.87
139200,39.71,-121.89
89600,39.79,-121.97
153100,39.68,-121.84
87500,39.64,-121.8
158600,39.66,-121.77
95100,39.59,-121.74
93800,39.59,-121.9
95300,39.88,-121.75
141300,39.82,-121.68
67500,40.06,-121.54
73000,39.97,-121.51
119600,39.86,-121.59
93200,39.83,-121.58
117900,39.8,-121.6
97200,39.79,-121.62
97600,39.82,-121.59
95300,39.83,-121.6
107700,39.82,-121.63
102900,39.79,-121.6
88300,39.79,-121.59
86500,39.78,-121.59
58000,39.78,-121.59
84000,39.77,-121.6
89500,39.77,-121.61
93400,39.78,-121.63
115200,39.8,-121.57
105700,39.78,-121.57
97300,39.77,-121.59
108600,39.79,-121.58
104900,39.76,-121.57
110200,39.76,-121.58
103800,39.76,-121.58
80800,39.75,-121.59
87300,39.77,-121.6
85500,39.76,-121.6
85000,39.76,-121.61
93500,39.77,-121.62
96700,39.76,-121.65
109700,39.76,-121.63
85800,39.76,-121.62
92800,39.75,-121.62
70500,39.75,-121.63
121800,39.74,-121.64
102600,39.71,-121.71
101200,39.66,-121.66
168300,39.69,-121.56
126100,39.74,-121.57
83800,39.74,-121.59
92600,39.75,-121.6
111200,39.68,-121.6
87500,39.83,-121.5
87500,39.72,-121.41
94700,39.61,-121.39
62500,39.65,-121.24
83300,39.55,-121.19
85700,39.52,-121.36
79500,39.52,-121.56
53600,39.52,-121.56
65200,39.53,-121.56
84100,39.6,-121.54
142300,39.54,-121.46
93800,39.52,-121.49
90800,39.5,-121.44
91800,39.49,-121.47
97500,39.51,-121.47
91200,39.53,-121.53
73800,39.52,-121.53
86400,39.52,-121.53
62100,39.51,-121.54
